Task_id,Task_id,1,1,1,2,2,2,1,2,1,1,2,2
Nodes,Threads,Time,Speedup,Efficiency,Time,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Seq. Frac Estimate,Sequential Fraction,Seq. Frac Estimate,Sequential Fraction
2,2,13.563,2.943,0.736,13.698,2.914,0.729,£14.33,,0.1197191075,0.1034028824,0.1242278655,0.1207193817
2,4,12.139,3.289,0.411,11.373,3.51,0.439,,,0.2046214655,,0.1827431827,
2,8,5.263,7.585,0.474,5.47,7.298,0.456,,,0.07396176664,,0.07949209829,
4,2,9.831,4.061,0.508,9.469,4.216,0.527,,,0.1385654483,,0.1282190295,
4,4,6.701,5.957,0.372,6.561,6.085,0.38,,,0.112394382,,0.1086277732,
4,8,3.698,10.795,0.337,3.828,3.828,0.12,,,0.06336565614,,0.2374018269,
8,2,5.622,7.101,0.444,5.98,6.676,0.417,,,0.08354691827,,0.09310964649,
8,4,4.044,9.872,0.309,3.86,10.342,0.323,,,0.07230616406,,0.06755416373,
8,8,3.066,13.021,0.203,3.182,12.546,0.196,,,0.06214503312,,0.06509884893,
